Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 02:36:27.121000,PER,0 days 00:01:16.759000,70,5,,,MEDIUM,14,1
0 days 02:37:42.524000,PER,0 days 00:01:15.403000,71,5,,,MEDIUM,15,1
0 days 02:38:57.873000,PER,0 days 00:01:15.349000,72,5,,,MEDIUM,16,1
0 days 01:03:24.927000,ALO,0 days 00:01:27.995000,1,1,0 days 00:23:11.835000,,SOFT,1,1
0 days 01:04:44.020000,ALO,0 days 00:01:19.093000,2,1,,,SOFT,2,2
0 days 01:06:02.234000,ALO,0 days 00:01:18.214000,3,1,,,SOFT,3,1
0 days 01:07:20.366000,ALO,0 days 00:01:18.132000,4,1,,,SOFT,4,2
0 days 01:08:38.374000,ALO,0 days 00:01:18.008000,5,1,,,SOFT,5,1
0 days 01:09:56.529000,ALO,0 days 00:01:18.155000,6,1,,,SOFT,6,1
0 days 01:11:14.279000,ALO,0 days 00:01:17.750000,7,1,,,SOFT,7,1
0 days 01:12:32.888000,ALO,0 days 00:01:18.609000,8,1,,,SOFT,8,1
0 days 01:13:50.945000,ALO,0 days 00:01:18.057000,9,1,,,SOFT,9,1
0 days 01:15:08.455000,ALO,0 days 00:01:17.510000,10,1,,,SOFT,10,1
0 days 01:16:26.675000,ALO,0 days 00:01:18.220000,11,1,,,SOFT,11,1
0 days 01:17:47.470000,ALO,0 days 00:01:20.795000,12,1,,0 days 01:17:45.890000,SOFT,12,1
0 days 01:19:23.586000,ALO,0 days 00:01:36.116000,13,2,0 days 01:18:05.442000,,HARD,1,1
0 days 01:20:40.518000,ALO,0 days 00:01:16.932000,14,2,,,HARD,2,1
0 days 01:21:57.118000,ALO,0 days 00:01:16.600000,15,2,,,HARD,3,1
0 days 01:23:13.676000,ALO,0 days 00:01:16.558000,16,2,,,HARD,4,1
0 days 01:24:30.489000,ALO,0 days 00:01:16.813000,17,2,,,HARD,5,1
0 days 01:25:47.124000,ALO,0 days 00:01:16.635000,18,2,,,HARD,6,1
0 days 01:27:03.816000,ALO,0 days 00:01:16.692000,19,2,,,HARD,7,1
0 days 01:28:20.717000,ALO,0 days 00:01:16.901000,20,2,,,HARD,8,1
0 days 01:29:37.719000,ALO,0 days 00:01:17.002000,21,2,,,HARD,9,1
0 days 01:30:54.882000,ALO,0 days 00:01:17.163000,22,2,,,HARD,10,1
0 days 01:32:11.980000,ALO,0 days 00:01:17.098000,23,2,,,HARD,11,1
0 days 01:33:28.825000,ALO,0 days 00:01:16.845000,24,2,,,HARD,12,1
0 days 01:34:45.770000,ALO,0 days 00:01:16.945000,25,2,,,HARD,13,1
0 days 01:36:02.810000,ALO,0 days 00:01:17.040000,26,2,,,HARD,14,1
0 days 01:37:19.965000,ALO,0 days 00:01:17.155000,27,2,,,HARD,15,1
0 days 01:38:37.114000,ALO,0 days 00:01:17.149000,28,2,,,HARD,16,1
0 days 01:39:54.329000,ALO,0 days 00:01:17.215000,29,2,,,HARD,17,1
0 days 01:41:11.195000,ALO,0 days 00:01:16.866000,30,2,,,HARD,18,1
0 days 01:42:28.353000,ALO,0 days 00:01:17.158000,31,2,,,HARD,19,1
0 days 01:43:45.589000,ALO,0 days 00:01:17.236000,32,2,,,HARD,20,1
0 days 01:45:02.623000,ALO,0 days 00:01:17.034000,33,2,,,HARD,21,1
0 days 01:46:19.565000,ALO,0 days 00:01:16.942000,34,2,,,HARD,22,1
0 days 01:47:36.247000,ALO,0 days 00:01:16.682000,35,2,,,HARD,23,1
0 days 01:48:53.447000,ALO,0 days 00:01:17.200000,36,2,,,HARD,24,1
0 days 01:50:10.396000,ALO,0 days 00:01:16.949000,37,2,,,HARD,25,1
0 days 01:51:27.132000,ALO,0 days 00:01:16.736000,38,2,,,HARD,26,1
0 days 01:52:43.791000,ALO,0 days 00:01:16.659000,39,2,,,HARD,27,1
0 days 01:54:00.300000,ALO,0 days 00:01:16.509000,40,2,,,HARD,28,1
0 days 01:55:17.795000,ALO,0 days 00:01:17.495000,41,2,,,HARD,29,1
0 days 01:56:34.575000,ALO,0 days 00:01:16.780000,42,2,,,HARD,30,1
0 days 01:57:51.100000,ALO,0 days 00:01:16.525000,43,2,,,HARD,31,1
0 days 01:59:08.765000,ALO,0 days 00:01:17.665000,44,2,,,HARD,32,2
0 days 02:00:25.602000,ALO,0 days 00:01:16.837000,45,2,,,HARD,33,1
0 days 02:01:42.586000,ALO,0 days 00:01:16.984000,46,2,,,HARD,34,1
0 days 02:03:14.249000,ALO,0 days 00:01:31.663000,47,2,,0 days 02:03:12.578000,HARD,35,26
0 days 02:05:16.532000,ALO,0 days 00:02:02.283000,48,3,0 days 02:03:34.188000,,SOFT,1,6
0 days 02:06:48.153000,ALO,0 days 00:01:31.621000,49,3,,,SOFT,2,67
0 days 02:08:02.716000,ALO,0 days 00:01:14.563000,50,3,,,SOFT,3,1
0 days 02:09:16.860000,ALO,0 days 00:01:14.144000,51,3,,,SOFT,4,1
0 days 02:10:31.613000,ALO,0 days 00:01:14.753000,52,3,,,SOFT,5,1
0 days 02:11:48.438000,ALO,0 days 00:01:16.825000,53,3,,,SOFT,6,1
0 days 02:13:04.236000,ALO,0 days 00:01:15.798000,54,3,,,SOFT,7,2
0 days 02:14:20.563000,ALO,0 days 00:01:16.327000,55,3,,,SOFT,8,24
0 days 02:16:07.675000,ALO,0 days 00:01:47.112000,56,3,,,SOFT,9,4
0 days 02:17:55.176000,ALO,0 days 00:01:47.501000,57,3,,0 days 02:17:53.551000,SOFT,10,4
0 days 02:19:54.927000,ALO,0 days 00:01:59.751000,58,4,0 days 02:18:09.392000,,SOFT,11,4
0 days 02:21:56.536000,ALO,0 days 00:02:01.609000,59,4,,,SOFT,12,4
0 days 02:23:53.513000,ALO,0 days 00:01:56.977000,60,4,,,SOFT,13,4
0 days 02:25:10.132000,ALO,0 days 00:01:16.619000,61,4,,,SOFT,14,1
0 days 02:26:25.279000,ALO,0 days 00:01:15.147000,62,4,,,SOFT,15,1
0 days 02:27:40.311000,ALO,0 days 00:01:15.032000,63,4,,,SOFT,16,1
0 days 02:28:55.282000,ALO,0 days 00:01:14.971000,64,4,,,SOFT,17,1
0 days 02:30:10.435000,ALO,0 days 00:01:15.153000,65,4,,,SOFT,18,1
0 days 02:31:25.547000,ALO,0 days 00:01:15.112000,66,4,,,SOFT,19,1
0 days 02:32:41.079000,ALO,0 days 00:01:15.532000,67,4,,,SOFT,20,1
0 days 02:33:56.354000,ALO,0 days 00:01:15.275000,68,4,,,SOFT,21,1
0 days 02:35:11.397000,ALO,0 days 00:01:15.043000,69,4,,,SOFT,22,1
0 days 02:36:27.583000,ALO,0 days 00:01:16.186000,70,4,,,SOFT,23,1
0 days 02:37:42.954000,ALO,0 days 00:01:15.371000,71,4,,,SOFT,24,1
0 days 02:38:58.459000,ALO,0 days 00:01:15.505000,72,4,,,SOFT,25,1
0 days 01:03:17.280000,LEC,0 days 00:01:20.348000,1,1,0 days 00:23:39.930000,,SOFT,4,1
0 days 01:04:33.834000,LEC,0 days 00:01:16.554000,2,1,,,SOFT,5,2
0 days 01:05:50.896000,LEC,0 days 00:01:17.062000,3,1,,,SOFT,6,1
0 days 01:07:07.324000,LEC,0 days 00:01:16.428000,4,1,,,SOFT,7,2
0 days 01:08:23.657000,LEC,0 days 00:01:16.333000,5,1,,,SOFT,8,1
0 days 01:09:39.870000,LEC,0 days 00:01:16.213000,6,1,,,SOFT,9,1
0 days 01:10:56.704000,LEC,0 days 00:01:16.834000,7,1,,,SOFT,10,1
0 days 01:12:13.235000,LEC,0 days 00:01:16.531000,8,1,,,SOFT,11,1
